New Particle?	Particle Number	Upper X	Upper Y	Upper Z	Center X	Center Y	Center Z	Lower X	Lower Y	Lower Z	Chromosome Number	Damage Type	N Direct	N In-direct	BD	SSB	DSB
N	1	3.471996	2.082264	0.754927	3.471996	2.082264	0.754927	3.471996	2.082264	0.754927	19	In-direct	0	1	0	1	0
N	1	3.471907	2.080540	0.759507	3.471907	2.080540	0.759507	3.471907	2.080540	0.759507	19	In-direct	0	1	0	1	0
N	1	3.205246	2.181994	0.313591	3.205259	2.182011	0.313595	3.205233	2.181976	0.313587	19	Hybrid	1	1	2	0	0
N	1	3.705511	1.995099	1.114197	3.706011	1.995298	1.115429	3.705012	1.994900	1.112966	25	Hybrid	1	2	0	3	1
N	1	3.688116	1.998721	1.090324	3.688221	1.999032	1.091414	3.688011	1.998409	1.089234	25	In-direct	0	2	0	2	1
N	1	3.695363	1.997596	1.100642	3.695777	1.997743	1.101191	3.694949	1.997449	1.100093	25	In-direct	0	2	0	2	1
N	1	3.705511	1.995295	1.113184	3.706011	1.995524	1.113616	3.705012	1.995067	1.112752	25	In-direct	0	3	0	3	1
N	1	3.694740	2.000222	1.099801	3.694767	2.000337	1.099837	3.694713	2.000108	1.099766	25	Hybrid	1	1	0	2	0
N	1	3.700786	1.994264	1.101626	3.701375	1.994430	1.102760	3.700197	1.994098	1.100493	25	In-direct	0	2	0	2	0
N	1	3.703320	1.993765	1.113953	3.703760	1.994398	1.114137	3.702881	1.993132	1.113770	25	Hybrid	1	1	0	2	0
N	1	3.701831	1.997692	1.105748	3.701831	1.997692	1.105748	3.701831	1.997692	1.105748	25	In-direct	0	1	0	1	0
N	1	3.708568	1.992271	1.122114	3.708568	1.992271	1.122114	3.708568	1.992271	1.122114	25	Direct	1	0	0	1	0
N	1	3.937460	1.919830	1.425734	3.937730	1.920159	1.425847	3.937189	1.919502	1.425621	27	In-direct	0	2	1	1	0
N	1	3.846634	1.941863	1.332726	3.846940	1.941974	1.333189	3.846329	1.941752	1.332264	27	Direct	2	0	1	1	0
N	1	3.934754	1.919405	1.424650	3.934754	1.919405	1.424650	3.934754	1.919405	1.424650	27	In-direct	0	1	0	1	0
N	1	3.852002	1.938779	1.339305	3.852002	1.938779	1.339305	3.852002	1.938779	1.339305	27	Direct	1	0	0	1	0
N	1	3.851368	1.939326	1.335637	3.851368	1.939326	1.335637	3.851368	1.939326	1.335637	27	In-direct	0	1	0	1	0
N	1	3.844505	1.942619	1.329550	3.844505	1.942619	1.329550	3.844505	1.942619	1.329550	27	Direct	1	0	0	1	0
Y	2	-2.04591	-3.26336	1.14828	-2.04516	-3.26273	1.14899	-2.04666	-3.26398	1.14757	17	Hybrid	1	3	1	3	1
N	2	-2.045575	-3.279478	1.145897	-2.044517	-3.279022	1.146308	-2.046634	-3.279933	1.145486	17	Hybrid	1	2	1	2	0
N	2	-1.717927	-3.878415	0.795481	-1.717609	-3.877997	0.796278	-1.718245	-3.878833	0.794683	17	In-direct	0	2	0	2	0
N	2	-1.939657	-3.492375	1.031481	-1.939538	-3.492195	1.031485	-1.939776	-3.492555	1.031476	17	Hybrid	1	1	0	2	0
N	2	-2.045736	-3.275920	1.146188	-2.045532	-3.275151	1.146980	-2.045941	-3.276689	1.145397	17	Hybrid	1	1	0	2	0
N	2	-1.959562	-3.434904	1.060461	-1.959455	-3.434852	1.060671	-1.959670	-3.434956	1.060250	17	Hybrid	1	1	1	1	0
N	2	-1.672041	-3.987876	0.735749	-1.672041	-3.987876	0.735749	-1.672041	-3.987876	0.735749	17	In-direct	0	1	0	1	0
N	2	-1.763697	-3.797450	0.858293	-1.763697	-3.797450	0.858293	-1.763697	-3.797450	0.858293	17	In-direct	0	1	0	1	0
N	2	-1.710734	-3.882284	0.803850	-1.710734	-3.882284	0.803850	-1.710734	-3.882284	0.803850	17	In-direct	0	1	0	1	0
N	2	-1.714948	-3.887735	0.804776	-1.714948	-3.887735	0.804776	-1.714948	-3.887735	0.804776	17	In-direct	0	1	0	1	0
N	2	-1.713266	-3.884919	0.805894	-1.713266	-3.884919	0.805894	-1.713266	-3.884919	0.805894	17	Direct	1	0	0	1	0
